# becによる状態1とのdipole momentの差
# step*10 x y z
0 0.0 0.0 0.0
1 8.25212150e-05 7.52447566e-05 5.53200270e-04
2 -0.00011376  0.00062084  0.00029347
3 2.22964119e-05 7.52702309e-04 5.99428789e-05
4 0.00033707 0.00057053 0.00057344
5 0.00029492 0.0005974  0.00134025
6 0.00028695 0.00067122 0.00129511
7 0.00073248 0.0003704  0.00094189
8 0.00070377 0.00023732 0.00143992
9 0.0004379  0.00062928 0.00218829
10 0.00073474 0.00059569 0.0019346 
11 0.00085153 0.00034432 0.00125412
12 0.00046725 0.00044776 0.00168245
13 0.0005941  0.00020679 0.00212358
14  0.00091923 -0.00027449  0.00163349
15  0.000616   -0.00045007  0.00113271
16  0.00044945 -0.00044695  0.00116993
17  0.0008388  -0.00044302  0.00164435
18  0.00077594 -0.00048041  0.00134397
19  0.00040154 -0.00025265  0.00050168
20  0.0007557  -0.0001783   0.00080089
21  0.00111891 -0.00048131  0.00136541
22  0.00077851 -0.00052157  0.0009787 
23  0.0009532 -0.0005434  0.000519 
24  0.00156554 -0.00068343  0.00079267
25  0.00135451 -0.00054837  0.00126896
26  0.00119996 -0.00032719  0.00109154
27  0.00169213 -0.0001594   0.00057777
28  0.00175643 -0.000228    0.00053089
29  0.00138996 -0.00025951  0.00115168
